shopify_id,title,handle,type,model,tier,yotpo_key,key_source,yotpo_name,yotpo_group,reviews,score,other_keys
10120597733616,Vaughn 54 Crystal Smoke,spy-vaughn-54-crystal-smoke-sunglasses,Sunglasses,VAUGHN 54,C-group,SRX00031,sibling,Vaughn 54,VAUGHN 54,10,4.0,
10120597307632,Vaughn 54 Matte Blue,spy-vaughn-54-matte-blue-sunglasses,Sunglasses,VAUGHN 54,C-group,SRX00031,sibling,Vaughn 54,VAUGHN 54,10,4.0,
10120597831920,Vaughn 54 Translucent Brown,spy-vaughn-54-translucent-brown-sunglasses,Sunglasses,VAUGHN 54,C-group,SRX00031,sibling,Vaughn 54,VAUGHN 54,10,4.0,
10120613527792,Vaughn 56 Crystal Smoke,spy-vaughn-56-crystal-smoke-sunglasses,Sunglasses,VAUGHN 56,C-group,573488038000,sibling,Vaughn 56,VAUGHN 54,10,4.0,
10120613560560,Vaughn 56 Matte Blue,spy-vaughn-56-matte-blue-sunglasses,Sunglasses,VAUGHN 56,C-group,573488038000,sibling,Vaughn 56,VAUGHN 54,10,4.0,
10120613331184,Vaughn 56 Translucent Brown,spy-vaughn-56-translucent-brown-sunglasses,Sunglasses,VAUGHN 56,C-group,573488038000,sibling,Vaughn 56,VAUGHN 54,10,4.0,
10120612413680,Discord Optical 56 Gray Fade,spy-discord-optical-56-gray-fade-sunglasses,Eyeglasses,DISCORD OPTICAL 56,C-group,5700000000068,sibling,Discord Optical,DISCORD OPTICAL 58,4,3.5,
10120609890544,Discord Optical 58 Gray Fade,spy-discord-optical-58-gray-fade-sunglasses,Eyeglasses,DISCORD OPTICAL 58,C-group,5700000000074,sibling,Discord Optical,DISCORD OPTICAL 58,4,3.5,
10120598651120,Drake 54 Matte Black,spy-drake-54-matte-black-sunglasses,Sunglasses,DRAKE 54,C-group,SRX00083,sibling,DRAKE,DRAKE,4,5.0,
10120610971888,Hardwin 50 Black,spy-hardwin-50-black-sunglasses,Sunglasses,HARDWIN 50,C-group,5700000000118,sibling,HARDWIN,HARDWIN 52,4,5.0,
